# Cycled Spindle Data - Droplets 
#
# These data were gratiously sent by Matt Good.  They are from the
#  paper Good, et al., Cytoplasmic Volume Modulates Spindle Size During
#  Embryogenesis, Science, 342, 856-860, 2013.
#
# Please do not distribute outside of BE/Bi 103.
#
Droplet Diameter (um),Droplet Volume (uL),Spindle Length (um),Spindle Width (um),Spindle Area (um2)
71.2,1.9E-04,37.1,13.5,250.9
71.2,1.9E-04,33.5,17.0,285.2
71.2,1.9E-04,39.6,13.0,256.2
71.4,1.9E-04,29.7,12.6,188.1
71.4,1.9E-04,34.9,13.8,239.7
71.4,1.9E-04,33.2,16.9,280.6
71.4,1.9E-04,33.5,14.9,250.4
71.4,1.9E-04,39.2,12.7,249.0
71.4,1.9E-04,37.9,14.7,279.2
71.7,1.9E-04,35.2,16.7,293.1
71.7,1.9E-04,35.2,17.2,301.7
71.7,1.9E-04,35.2,13.8,242.7
71.7,1.9E-04,48.2,20.5,495.4
71.9,1.9E-04,34.5,15.1,259.9
71.9,1.9E-04,38.5,16.7,321.4
71.9,1.9E-04,40.3,14.9,300.1
72.2,2.0E-04,31.8,13.6,217.1
72.2,2.0E-04,36.4,16.4,298.1
72.2,2.0E-04,32.0,14.2,226.3
72.2,2.0E-04,32.8,15.0,245.7
72.2,2.0E-04,22.3,10.9,122.0
72.2,2.0E-04,38.4,11.8,227.0
72.4,2.0E-04,39.1,17.4,340.0
72.4,2.0E-04,39.7,16.5,326.6
72.4,2.0E-04,36.0,17.0,305.3
72.4,2.0E-04,32.8,12.6,206.6
72.4,2.0E-04,37.7,16.0,301.9
72.7,2.0E-04,40.9,16.1,328.5
72.7,2.0E-04,37.2,14.3,265.3
73.0,2.0E-04,36.5,12.5,228.4
73.0,2.0E-04,38.7,17.4,336.8
73.0,2.0E-04,33.5,15.5,259.6
73.2,2.1E-04,35.1,15.6,274.0
73.2,2.1E-04,35.6,13.0,230.9
73.2,2.1E-04,37.3,21.4,399.0
73.2,2.1E-04,42.8,18.3,392.0
73.2,2.1E-04,33.7,11.2,189.5
73.5,2.1E-04,33.1,14.5,239.9
73.5,2.1E-04,34.7,13.8,239.7
73.5,2.1E-04,39.6,15.4,304.7
73.5,2.1E-04,43.6,14.7,319.6
73.5,2.1E-04,35.1,13.8,242.1
73.7,2.1E-04,39.9,15.8,315.5
74.0,2.1E-04,39.0,15.2,295.6
74.0,2.1E-04,36.3,19.9,360.6
74.0,2.1E-04,37.5,15.9,297.8
74.2,2.1E-04,35.8,17.2,307.3
74.5,2.2E-04,41.9,14.5,303.6
74.5,2.2E-04,30.8,15.8,243.3
74.8,2.2E-04,38.1,19.0,361.1
75.0,2.2E-04,37.1,14.9,276.4
75.8,2.3E-04,39.5,12.3,243.6
76.0,2.3E-04,33.8,18.1,306.0
76.5,2.3E-04,37.9,14.2,268.5
76.8,2.4E-04,43.0,17.4,373.5
77.3,2.4E-04,36.9,13.7,253.5
77.3,2.4E-04,39.7,12.0,237.4
77.6,2.4E-04,32.3,16.7,269.2
77.6,2.4E-04,29.9,14.4,215.6
78.8,2.6E-04,40.6,16.3,329.8
79.1,2.6E-04,34.6,13.7,236.6
80.4,2.7E-04,38.5,17.2,330.4
81.2,2.8E-04,40.1,15.1,301.6
81.9,2.9E-04,42.0,13.3,279.3
82.2,2.9E-04,42.1,18.7,393.2
82.4,2.9E-04,44.4,17.7,394.1
82.4,2.9E-04,45.8,16.7,383.0
84.5,3.2E-04,33.2,16.5,274.3
86.0,3.3E-04,32.2,13.3,214.6
88.1,3.6E-04,32.1,10.6,169.3
91.6,4.0E-04,37.9,13.2,250.5
91.9,4.1E-04,40.3,20.2,406.4
94.0,4.3E-04,35.2,20.5,360.2
94.7,4.4E-04,36.1,13.5,243.4
96.5,4.7E-04,39.6,13.9,275.7
96.5,4.7E-04,41.9,17.6,369.5
97.3,4.8E-04,32.4,18.5,299.3
97.5,4.9E-04,38.1,17.0,324.5
98.3,5.0E-04,46.6,14.3,334.4
100.4,5.3E-04,33.6,16.7,280.9
102.7,5.7E-04,43.2,15.6,337.0
103.9,5.9E-04,32.2,14.3,229.9
113.9,7.7E-04,46.6,23.3,542.8
116.2,8.2E-04,39.0,20.3,394.7
116.7,8.3E-04,35.1,16.9,296.2
117.5,8.5E-04,44.9,21.8,489.1
119.0,8.8E-04,38.1,24.9,473.5
120.6,9.2E-04,34.8,19.6,341.9
121.1,9.3E-04,47.3,23.9,565.6
122.4,9.6E-04,43.0,13.8,296.4
122.9,9.7E-04,41.6,17.4,361.7
123.1,9.8E-04,42.4,22.7,480.9
131.1,1.2E-03,41.3,22.6,466.8
139.8,1.4E-03,42.0,21.5,451.8
140.3,1.4E-03,41.3,20.0,413.3
141.3,1.5E-03,42.2,18.1,382.8
160.0,2.1E-03,45.2,18.2,410.7
166.1,2.4E-03,43.5,20.4,443.0
185.9,3.4E-03,43.4,15.3,333.0
190.5,3.6E-03,40.5,11.9,240.5
221.4,5.7E-03,32.3,17.4,281.1
